編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案,圖片檔名
B2-003,B2,003,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,附圖為某資料之分佈圖，此圖資料之偏態（Skewness）值較有可能為下列哪個選項？(圖顯示長尾向左),(1) Skewness < 0,(2) Skewness > 0,(3) Skewness = 0,(4) 無法計算 Skewness,1,assets/q_images/B2-003.jpeg
B2-004,B2,004,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"累積分佈函數（Cumulative Distribution Function, CDF）可用於描述隨機變數的機率分佈特性，其數學定義為下列何者？","(1) 機率密度函數（Probability Density Function, PDF）的平均值","(2) 機率密度函數（Probability Density Function, PDF）的積分","(3) 機率密度函數（Probability Density Function, PDF）的離散總和","(4) 機率密度函數（Probability Density Function, PDF）的標準差",2,assets/q_images/B2-004.jpeg
B2-005,B2,005,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,在進行資料前處理時，若使用 Label Encoding 將類別變數轉換為數字型態，下列何者為最常見的潛在風險？,(1) 無法處理缺值,(2) 會引入類別之間的虛假順序關係,(3) 無法擴展至新資料,(4) 記憶體佔用過高,2,
B2-006,B2,006,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,在進行資料分析時，會遇到類別型（Categorical）與數值型（Numerical） 資料格式。關於這兩種資料格式的處理，下列敘述何者不正確？,(1) One-Hot編碼適用於無序類別資料，但在高基數特徵下可能造成維度爆炸,(2) 標籤編碼應用於無序資料，可能導致模型誤將編碼值解讀為具數值大小關係,(3) 標準化（Standardization）透過將資料平移與縮放，使其平均值為 0、標準差為 1，並同時將數值範圍壓縮至 0 至 1 之間,(4) 對連續變數進行分箱可提升模型可解釋性，但可能導致資訊損失,3,
B2-007,B2,007,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,在資料庫的 ACID 特性中，下列何者為「原子性（Atomicity）」的正確定義？,(1) 所有資料欄位必須為相同型別,(2) 每次交易需以批次方式執行,(3) 交易不可分割，需完全成功或完全失敗,(4) 系統會自動同步交易資料至所有節點,3,
B2-008,B2,008,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,資料科學家為分析顧客行為，利用現有欄位「銷售金額」與「瀏覽次數」，計算出新變數「銷售金額/瀏覽次數」。此動作屬於下列哪一類特徵工程方法？,(1) 特徵選擇（Feature Selection）,(2) 特徵衍生（Feature Derivation）,(3) 特徵轉換（Feature Transformation）,(4) 分箱處理（Binning）,2,
B2-009,B2,009,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,在進行數值特徵的標準化（Normalization）時，若資料中存在極端值（Outliers），下列哪一種方法最適合使用？,(1) Min-Max正規化（Min-Max Scaling）,(2) Z-score標準化（Z-score Normalization）,(3) 穩健縮放（Robust Scaling）,(4) 標準分箱（Standard Binning）,3,
B2-010,B2,010,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,下列哪一種情境最適合應用異常偵測（Anomaly Detection）技術？,(1) 根據歷史銷售資料預測特定商品在旺季期間是否會出現供貨短缺,(2) 透過信用風險模型預測顧客是否可能發生違約,(3) 即時分析金融交易資料流，偵測與平常交易行為明顯不同的可疑交易紀錄,(4) 監控線上服務平台的使用者登入次數，預測次日的登入量變化趨勢,3,
B2-011,B2,011,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,若一家公司需即時監控大量物聯網裝置的異常行為，下列哪一種組合最適合此應用？,(1) 傳統關聯式資料庫+圖形視覺化,(2) 批次資料處理+雲端備份,(3) 大數據平台+即時資料分析技術,(4) Word文件+手動標註,3,
B2-012,B2,012,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,在處理分類問題時，若某一類樣本數明顯少於其他類別，研究人員可能採用隨機過採樣（Random Oversampling）以平衡資料比例，此方法最常造成下列哪一種問題？,(1) 增加過擬合風險,(2) 降低模型的收斂速度,(3) 減少資料總筆數數量,(4) 導致訓練資料欄位缺失,1,
B2-013,B2,013,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,下列何者為同態加密（Homomorphic Encryption）技術的核心特性？,(1) 將資料轉換為匿名識別碼以隱藏身分,(2) 對資料進行標準化處理以提升模型精度,(3) 自動偵測與排除異常值,(4) 可直接在加密狀態下進行數據運算,4,
B2-014,B2,014,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"某組資料共 10項標籤如下：A, A, A, A, A, B, B, B, B, B。若該標籤僅有 A、B兩種，請問這組資料的「正規化吉尼不純度（Normalized Gini impurity）」為何？",(1) 0,(2) 0.42,(3) 0.84,(4) 1,4,
B2-015,B2,015,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某家客服中心統計資料發現，這些來電事件彼此獨立，且在短時間內，發生的機率與時間長短成正比。若要以機率模型描述「每分鐘接到幾通來電」的機率分佈，下列哪一種最適合使用？,(1) 均勻分佈（Uniform distribution）,(2) 指數分佈（Exponential distribution）,(3) 卜瓦松分佈（Poisson distribution）,(4) 常態分佈（Normal distribution）,3,
B2-016,B2,016,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"某金融科技公司以 Z分數（Z-Score）監控交易金額異常狀況。若交易金額平均為新台幣 2,000 元，標準差為 400 元，某筆交易金額為 3,200元，且公司以 \",(1) 該筆交易的 Z分數為 3，應標記為異常值,(2) 該筆交易的 Z分數為 2.5，屬於合理變異範圍,(3)該筆交易的 Z 分數為 2，顯示模型標準差估計過高,(4)該筆交易的 Z 分數為 1.5，無須納入異常檢測,1,
B2-017,B2,017,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某電商公司欲利用顧客行為資料建立消費預測模型，其中「會員等級」欄位包含「一般、白金、黑卡」三種類別。若模型採用梯度提升樹（Gradient Boosting Tree）演算法，資料科學家在進行特徵編碼時應特別注意下列何種情況？,(1) 應優先採用獨熱編碼（One-Hot Encoding），以減少類別之間的相依性,(2) 直接使用標籤編碼（Label Encoding）可能使模型誤判類別間存在順序關係，導致特徵重要性偏誤,(3) 使用目標編碼（Target Encoding）會自動消除過擬合風險,(4) 若類別數量較少，建議先使用主成分分析進行降維,2,
B2-018,B2,018,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某人工智慧團隊使用分散式資料庫，若其中一個節點在交易過程中發生錯誤，但系統仍確保整體資料不會出現部分更新、最終狀態維持一致，下列何者最能說明此現象？,(1) 系統透過原子性（Atomicity）確保交易必須全部成功或全部回復,(2) 系統透過一致性（Consistency）確保交易完成後資料符合完整性規則,(3) 系統透過隔離性（Isolation）避免多筆交易同時存取或修改相同資料,(4) 系統透過持久性（Durability）確保交易一旦提交，其結果將永久保留於資料庫中,1,
B2-019,B2,019,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某製造企業導入物聯網（IoT）感測器。系統需在毫秒級回應異常事件，並同時將完整資料保留於雲端。若企業希望兼顧即時性、資料完整性與可擴展性，下列哪一種資料流程設計最符合此目標？,(1) 感測器 → 雲端 API Gateway → 分散式資料庫 → 批次特徵工程 → 模型推論,(2) 感測器 → MQTT Broker → 雲端資料倉儲 → 即時儀表板 → 模型再訓練,(3) 感測器 → 邊緣運算節點 → 流式資料處理框架 → 雲端資料湖 → 模型推論,(4) 感測器 → 本地快取層 → RESTful API → 雲端報表系統 → 模型批次更新,3,
B2-020,B2,020,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某銀行要求雲端服務商在不解密原始資料的情況下仍能執行模型運算。為達成此目標，最適合採用下列哪一項技術？,(1) 在上傳資料前進行匿名化（Anonymization）,(2) 利用雜湊（Hash）函數轉換資料,(3) 採用資料本地化（Data Localization）策略,(4) 透過同態加密（Homomorphic Encryption），讓雲端系統能直接在加密資料上執行運算,4,
B2-021,B2,021,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某資料分析師希望單一頁面中同時呈現多區域、不同產品線的銷售趨勢變化。若依據 Edward Rolf Tufte 的數據密度（Data Density）原則，下列哪一種設計方式最能符合該概念？,(1) 將每個區域的銷售資料分成多張獨立折線圖,(2) 使用顏色區分產品線，於同一圖表中整合多區域趨勢線，保持比例一致且標註清晰,(3) 移除所有輔助線與標籤，僅保留主要折線,(4) 將資料轉換為表格形式,2,
B2-022,B2,022,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某投資研究員希望分析四檔股票每日報酬率的變化趨勢，以判斷這些股票之間是否存在高度相關性與共變動性。若希望以單一圖表快速呈現各股票間的關聯強度與方向，下列哪一種視覺化呈現方式最適合？,(1) 為每檔股票各自繪製直方圖（Histogram）,(2) 針對任兩檔股票繪製散佈圖並加上趨勢線,(3) 使用雙軸折線圖（Dual-axis Line Chart）,(4) 熱力圖（Heatmap）配合相關係數矩陣（Correlation Matrix）,4,
B2-023,B2,023,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"某研究團隊以單樣本 t檢定檢驗「平均月銷售額是否與原本的 100 萬元不同」，顯著水準 α=0.05。檢定結果：p值=0.08，95%信賴區間為 [95 萬元, 108 萬元]。下列敘述何者正確？",(1) 因 p值< 0.05，可拒絕虛無假設,(2) 若顯著水準改為 0.10，仍不顯著,(3) 因 100 萬元落在信賴區間內，無法拒絕虛無假設,(4) 信賴區間寬度僅與顯著水準有關,3,
B2-024,B2,024,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某企業建置生成式 AI 系統，資料來源多樣且包含非結構化資訊。團隊希望在不降低模型效能的前提下，提升資料處理效率與一致性，下列哪一種資料處理策略最適合？,(1) 建立資料湖（Data Lake）結構，並以 Apache Spark或 Ray進行分散式資料預處理,(2) 採用單節點高效能伺服器搭配批次處理模式,(3) 將所有文字資料轉換為向量，並以資料庫索引方式直接餵入語言模型,(4) 使用生成式模型先行自動清理資料內容，再將結果輸入至下游訓練流程,1,
B2-025,B2,025,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某電商資料團隊繪製箱型圖發現：四分位距（IQR）範圍極小，但上鬚線拉得很長，且在高金額區域有多筆離群值。若希望協助行銷部門依據消費層級設計分群策略，下列哪一種視覺化方式最有助於凸顯不同消費層級間的差異？,(1) 以對數刻度繪製箱型圖或長條圖，放大高金額消費族群的變化差異,(2) 移除所有離群值，確保資料呈現集中分布,(3) 採用等距分箱（Equal-Width Binning）方式分群,(4) 改以折線圖（Line Chart）觀察時間變化趨勢,1,
B2-026,B2,026,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某串流影音平台分析用戶觀影行為，發現若觀看了科幻影集，則有較高機率接著觀看超級英雄電影。同時觀看比例為 12%，觀看科幻者中有 50%也觀看了超級英雄，提升度為 1.8。下列哪一項推論最為正確？,(1) 支持度（Support）過低，代表此規則不具任何商業價值,(2) 提升度（Lift）大於 1 表示兩種類型內容無關,(3) 信賴度（Confidence）為 50%，代表觀看科幻影集者有明顯傾向觀看超級英雄電影,(4) 同時觀看比例僅 12%，代表兩種類型互相排斥,3,
B2-027,B2,027,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某金融科技公司監控每日上億筆交易資料，決定採用「近似分位數（Approximate Quantile）」方法進行資料摘要統計。下列何者最能正確反映該技術的核心目的？,(1) 確保每個分位值的結果完全精確,(2) 利用機器學習模型預測分位數位置,(3) 僅能對結構化資料進行批次處理,(4) 在可容忍誤差範圍內，快速估算分位值以支援即時分析,4,
B2-028,B2,028,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,若在高維度（>500 維）的資料上應用 DBSCAN演算法，卻發現所有資料點皆被判定為雜訊（Noise），下列何者為最有可能的原因？,(1) 高維下距離變化趨同，導致 ε（Epsilon）閾值選擇失效,(2) 使用錯誤的距離函數,(3) MinPts參數設得太小,(4) 資料過度標準化導致特徵消失,1,
B2-029,B2,029,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,使用 PCA進行降維，輸入資料包含交易金額（10⁵）、交易次數（10¹）與年齡（10²）。直接帶入 PCA 後，第一主成分幾乎完全由「交易金額」主導。下列哪一項作法最合理？,(1) 這是正常現象，應主導主要成分,(2) 若改用特徵選擇法，可自動解決變數量級問題,(3) 可刪除「交易金額」欄位以平衡各主成分的影響,(4) 在進行 PCA前應先進行標準化，以避免因數值尺度差異造成特徵偏誤,4,
B2-030,B2,030,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某行銷團隊想了解「廣告預算」與「銷售金額」之間的關聯程度，散佈圖顯示明顯線性趨勢且無離群值。若希望衡量兩者之間線性關係的強度與方向，下列哪一種方法最適合？,(1) 均方根誤差（RMSE）,(2) 共變異數（Covariance）,(3) 皮爾森相關係數（Pearson Correlation Coefficient）,(4) 平均絕對誤差（MAE）,3,
B2-031,B2,031,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"某電商團隊將顧客點擊行為視為伯努利試驗（p=0.4）。當推播對象擴增至 5,000位時，若希望以常態分佈近似原始分佈，下列哪一項判斷最為合理？",(1) 因樣本數極大，可直接以常態分佈近似二項分佈,(2) 只有當 np 與 n(1-p) 皆大於 5 時，才能以常態分佈作近似,(3) 常態近似只適用於 p=0.5 的情況,(4) 無論樣本數多大，二項分佈都不能以常態分佈近似,2,
B2-032,B2,032,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某電信公司利用生成式 AI客服系統，為確保系統符合個資法及安全隱私要求，下列哪一項作法最符合實務可行及法規原則？,(1) 在訓練資料前進行資料匿名化或偽匿名化處理，並建立輸出內容稽核機制,(2) 改以強化學習微調模型，使模型學習避免產出真實資訊,(3) 採用同態加密以加密所有文字輸入,(4) 僅設定模型回覆時不顯示用戶姓名,1,
B2-033,B2,033,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某金融機構的資產風險評估模型，發現報酬率資料分佈明顯非對稱且有極端損失。若希望在不依賴常態分佈假設的前提下，採取更能捕捉資料極端情況的建模策略，下列哪一種方法最為合適？,(1) 採用線性迴歸模型,(2) 使用平均數與標準差估計波動範圍,(3) 將資料裁剪至 ±3σ 範圍內,(4) 採用分位數回歸模型（Quantile Regression Model），聚焦於尾部分位以評估極端風險,4,
B2-034,B2,034,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,在圖形資料庫中建模社群平台資料，每筆「按讚」行為都包含時間戳記。若希望同時保留使用者與貼文之間的互動關係，並能有效查詢「按讚」的行為屬性，下列哪一種設計方式最為合適？,(1) 將「按讚」視為節點，與使用者建立邊,(2) 將「按讚」資訊作為邊的屬性（Property）儲存,(3) 把「按讚」資訊直接寫入使用者節點中作為屬性,(4) 建立「按讚紀錄表」並將資料存入關聯式資料庫,2,
B2-035,B2,035,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,某企業欲建構知識圖譜，若希望模型能具備良好的語意擴展性與高效推理能力，下列哪一種圖模型設計最為合適？,(1) 僅以節點與邊表示，所有資訊存放於節點屬性中,(2) 將資料結構建為 RDF（Resource Description Framework）三元組,(3) 使用文件型資料庫儲存內容，並以標籤連接節點,(4) 採用關聯式資料庫儲存對應關係，並搭配預建索引加速查詢,2,
B2-036,B2,036,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,使用線性迴歸模型分析變數 Y與 X，發現 Y的分佈明顯右偏，且其變異數隨 X 的增大而增加。為滿足模型假設並提升配適效果，下列哪一種前處理方法最為合適？,(1) 對 X進行標準化,(2) 對 Y進行 Box–Cox轉換（Box–Cox Transformation）,(3) 對資料進行一次差分,(4) 將 Y中變異較大的樣本移除,2,
B2-037,B2,037,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,開發罕見疾病自動診斷分類模型，確診樣本僅佔不到 1%。若希望提升模型對少數類的偵測能力，同時避免過擬合，下列哪一種策略最為合理？,(1) 對少數類進行隨機過採樣,(2) 對多數類進行欠採樣,(3) 使用 SMOTE（Synthetic Minority Over-sampling Technique）生成合成少數類樣本後再訓練分類模型,(4) 僅使用現有資料調整模型決策閾值,3,
B2-038,B2,038,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,製造廠評估產品良率是否提升（95% vs 97%），各抽樣 100 件。若欲檢定兩條生產線良率的差異是否具有統計意義，下列哪一種方法最為合適？,(1) 雙樣本平均數 t 檢定,(2) 雙比例 Z 檢定（Two-proportion Z-test）,(3) 卡方檢定,(4) 變異數分析,2,
B2-039,B2,039,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,評估腫瘤分類模型，資料集中 80%為良性。若直接使用 5-fold交叉驗證可能導致偏差，為避免此問題，下列哪一種作法最合適？,(1) 降低 K值以減少交叉驗證次數,(2) 改為使用拔靴法,(3) 調整測試集使良性樣本比例更高,(4) 使用分層交叉驗證（Stratified K-Fold Cross-Validation）,4,assets/q_images/B2-039.png
B2-040,B2,040,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,（根據虛擬程式碼描述）對 i=1到 N，將第 i筆資料作測試集，其餘作訓練集。這最可能是在描述何種驗證法？,(1) Hold-out 驗證,(2) 留一交叉驗證 LOOCV（ Leave-One-Out Cross Validation）,(3) K-fold 交叉驗證,(4) 拔靴法驗證,2,
B2-041,B2,041,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,（根據虛擬程式碼描述）隨機選擇 X個中心，計算距離並指派群，更新中心直到收斂。這最可能是在描述何種演算法？,(1) K-means分群（K-means Clustering）,(2) 高斯混合模型分群,(3) 階層式分群,(4) DBSCAN分群,1,
B2-042,B2,042,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"考慮生產線瑕疵品符合卜瓦松分佈，平均每小時 5個。關於程式碼 poisson.pmf(5, 5)，下列敘述何者正確？",(1) 表示每小時最多 5個瑕疵品,(2) 表示小於 5個瑕疵品的機率,(3) 卜瓦松分佈的適用條件為事件彼此獨立，且平均發生率固定,(4) 表示大於或等於 10個瑕疵品的機率,3,
B2-043,B2,043,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,分析師發現 Year 欄位是 float64 而非整數，哪些原因可能導致這種狀況？(原因 A: NaN導致; 原因 D: 包含小數點),(1) 原因 B、原因 C,(2) 原因 A、原因 D,(3) 原因 A、原因 B、原因 D,(4) 原因 C、原因 D,2,
B2-044,B2,044,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,想要將 Year 欄位轉換為整數型態，考慮到包含缺失值（NaN），最合適的轉換方式為何？,(1) .astype(int),(2) .fillna(0).astype(int),(3) .fillna(1).astype(int),(4) .astype('Int64'),4,
B2-045,B2,045,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,統計每個平台的全球銷售總額並以長條圖呈現，正確的程式碼為何？,"(1) data.groupby(""Platform"")[""Global_Sales""].sum().plot(kind=""bar"")","(2) data.groupby(""Platform"")[""Global_Sales""].count().plot(kind=""bar"")","(3) data[""Platform""].value_counts().plot(kind=""bar"")","(4) data.groupby(""Platform"")[""Global_Sales""].mean().plot(kind=""bar"")",1,
B2-046,B2,046,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,比較北美、歐洲、日本及其他地區的整體銷售比例，使用 seaborn長條圖。正確的程式碼？,(1) sns.countplot(...),(2) sns.lineplot(...),"(3) sns.barplot(..., data=pd.melt(...), estimator=sum)",(4) sns.histplot(...),3,
B2-047,B2,047,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,想要知道在北美地區（NA）銷售成績最好的遊戲前五名，並以 seaborn 條狀圖呈現。正確的程式碼？,"(1) sns.barplot(x=""NA_Sales"", y=""Name"", data=data.head(5))","(2) sns.barplot(x=""Name"", y=""NA_Sales"", data=data.nlargest(5, ""NA_Sales""))",(3) sns.lineplot(...),(4) sns.countplot(...),2,
B2-048,B2,048,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,根據 df.describe() 結果，下列何者正確？,(1) 資料集個數為 199筆,(2) sales變數的中位數是 16.827,(3) facebook變數的第三四分位數(Q3)是 11.94,(4) youtube變數的第一四分位數(Q1)是 89.25,4,
B2-049,B2,049,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"計算各變數遺漏值(NaN)個數，下列何者正確？(選項 A: isnull(), 選項 C: isna())",(1) 選項 D,(2) 選項 B、C、D,(3) 選項 A、C,(4) 選項 A、B、C,3,
B2-050,B2,050,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,"考慮迴歸分析程式碼執行結果，下列何者正確？(B: fit(X, y)語法正確; F: 截距項係數值為 3.5561)",(1) B、C、F,(2) B、F,(3) A、C、D、F,(4) B、E,2,
B3-001,B3,001,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,某零售企業建立一個銷售預測模型，希望評估該模型在不同月份的新資料上，是否仍能維持穩定的預測表現。資料科學團隊計畫利用統計方法檢驗模型對未觀察資料的適應能力與泛化效果。下列哪一種方法最適合用於此目的？,(1) F檢定（F-test）,(2) 交叉驗證（Cross-Validation）,(3) 配對樣本 t 檢定（Paired-sample t-test）,(4) 卡方檢定（Chi-square Test）,2,
B3-002,B3,002,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在建立迴歸或分類模型時，若希望避免模型過度擬合（Overfitting），可透過加入正則化項以限制模型的複雜度。其中，L1正則化（Lasso）的主要效果為何？,(1) 增加模型參數的數量，以提升表現靈活度,(2) 強化梯度穩定性，避免參數更新過度震盪,(3) 產生稀疏模型（Sparse Model），使部分參數權重收斂為零,(4) 提高學習率（Learning Rate），加速模型收斂速度,3,
B3-003,B3,003,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在訓練非線性模型時，若目標函數為非凸函數（Non-convex Function），演算法在參數更新過程中可能出現多個極值點，導致最佳化結果不穩定。請問此時最可能發生下列哪一種情況？,(1) 梯度消失,(2) 資料過少,(3) 局部最優解,(4) 過擬合,3,
B3-004,B3,004,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在執行 DBSCAN（Density-Based Spatial Clustering of Applications with Noise）群集分析時，若某資料點鄰域內的樣本數不足以形成核心點（Core Point），且該點未被任何核心點的鄰域所包含，也未與其他群集形成密度可達關係（Density Reachability），此資料點最終將被歸類為哪一種類型？,(1) 鄰近點（Neighbor Point）,(2) 雜訊點（Noise Point）,(3) 邊界點（Border Point）,(4) 潛在點（Potential Point）,2,
B3-005,B3,005,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,"某智慧製造公司開發一套影像辨識系統，用於自動檢測生產線上的瑕疵產品。系統採用卷積神經網路（Convolutional Neural Network, CNN）作為主要模型架構，其中第一層卷積層（Convolutional Layer）主要負責的功能為下列何者？",(1) 自動提取輸入影像中的局部特徵,(2) 降低影像維度以加速運算效率,(3) 增加神經元與參數數量以提升模型容量,(4) 整合所有特徵並輸出最終分類結果,1,
B3-006,B3,006,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,"某智慧城市團隊開發一套交通監控系統，用於即時辨識路口監視器影像中的車輛與行人。團隊比較後發現，卷積神經網路（Convolutional Neural Network, CNN）在訓練與推論效率上，明顯優於傳統的全連接神經網路（Fully Connected Neural Network, FCNN）。請問下列何者為主要原因？",(1) CNN 能自動學習影像的旋轉與比例不變性,(2) CNN 可直接跳過人工特徵提取步驟進行分類,(3) CNN 透過區域感知（Local Receptive Field）與參數共享（Parameter Sharing）機制，降低模型參數量與運算複雜度,(4) CNN 捨棄激勵函數（Activation Function），以加快運算速度,3,
B3-007,B3,007,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,"下列哪一種應用最適合採用長短期記憶網路（Long Short-Term Memory, LSTM）模型？",(1) 預測未來七天的電力需求變化趨勢,(2) 辨識監視影像中不同類別的物件,(3) 將大量顧客資料依相似特徵自動分群,(4) 將高維度的感測器資料壓縮成低維表示,1,
B3-008,B3,008,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,資訊增益（Information Gain）常用於衡量特徵對分類結果的不確定性貢獻程度，並據以進行特徵選擇。此方法主要應用於下列哪一類模型架構中？,(1) 使用 L1 正則化進行特徵篩選的線性模型,(2) 利用激活函數（Activation Function）進行特徵擷取的深度神經網路,(3) 透過核函數（Kernel Function）將特徵映射至高維空間的分類模型,(4) 透過遞迴分裂方式建立分類規則的決策樹模型,4,
B3-009,B3,009,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,在建構以距離為基礎的機器學習模型（如 KNN、SVM）時，下列哪一項資料前處理方式最為關鍵？,(1) 進行特徵縮放（Feature Scaling），使各特徵變數具有相似的數值範圍,(2) 將連續型特徵變數轉換為類別型變數,(3) 以平均值或中位數進行缺失值補齊,(4) 進行隨機抽樣以平衡資料筆數,1,
B3-010,B3,010,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,下列哪一種應用情境最適合導入 AutoML，以提升模型開發效率？,(1) 公司已有完整的 MLOps平台與資深資料科學團隊，模型更新採固定流程,(2) 製造部門的生產良率模型已長期穩定運作，只需定期調整參數,(3) 行銷部門希望在短時間內比較多種顧客流失預測模型，缺乏專職工程師與時間進行手動建模,(4) 財務部門正在開發高度客製化的信用風險評估模型，需要精細控制特徵工程與演算法細節,3,
B3-011,B3,011,114年第二梯次中級AI應用規劃師第三科機器學習技術與應用(當次試題公告114_20251226000650.pdf,相較於 Grid Search，Random Search在超參數調整上具備哪一項主要優勢？,(1) 可自動產生模型架構,(2) 可使用更大的訓練集,(3) 避免模型過擬合,(4) 能更有效率搜尋高維參數空間,4,
