編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案
A2-023,A2,023,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在應用零樣本提示（Zero-Shot Prompting）時，下列哪一種情境最可能因缺乏示範而失敗，出現語意錯誤或結構錯誤的輸出？,(1) 要求模型判斷一段影評文字的情感傾向,(2) 要求模型將一段新聞摘要濃縮為一句話,(3) 要求模型將一段繁體中文翻譯成英文,(4) 要求模型從表格中擷取所有城市的最高氣溫,4
A2-024,A2,024,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某保險公司計畫導入生成式 AI的內部合約查詢系統，協助業務員與法務部門快速解讀保單條款與理賠規範。高層特別強調客戶資料隱私與合規風險控管，即使需要投入較多資源，也必須確保資料不會外洩。在此情況下，下列哪一種策略最符合公司的資料安全與合規優先考量？,(1) 導入開源模型並由 IT團隊自建，後續再逐步補強隱私與合規控管,(2) 在需求確認階段即納入法遵與稽核單位，設定準確率 KPI，並透過 MVP 驗證成效,(3) 優先使用雲端大型 API模型快速部署，並根據使用數據持續調整,(4) 投入資源自訓並私有化部署 LLM，並同步建立自動化風控機制,4
A2-025,A2,025,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某新創公司開發一套圖像描述生成系統，能根據輸入的照片自動產生說明文字。為了讓產生的描述文字能與圖片資訊精準對應，下列哪一種設計思路最關鍵？,(1) 強化語言模型的句法與流暢性，確保生成文字更自然易讀,(2) 在生成過程中結合圖片特徵與語言建模，讓模型同時利用影像內容與文字資訊,(3) 調整生成策略（如 Beam Search 或溫度參數），以提升輸出文字的合理性,(4) 專注於文字序列上下文的建模，只提升文字間的連貫性,2
A2-026,A2,026,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某電商平台希望生成的商品描述在風格與用詞上保持一致性，但不需要新增專業知識。下列哪種方法最適合？,(1) 擴充語料庫並微調模型，使風格統一,(2) 增加提示詞複雜度，引導模型風格一致,(3) 降低生成溫度，以減少隨機性並提升風格一致性,(4) 使用全連接神經網路對生成結果後期篩選,3
A2-027,A2,027,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某企業已建置 AI 語音記錄系統，並希望整合生成式 AI 進行「會議即時摘要」功能，下列哪一種策略最能提升摘要的語意品質與使用價值？,(1) 使用語音轉文字模型即時輸出逐字稿並轉入 GPT摘要,(2) 將語音逐段切分並建立關鍵字索引，以利摘要模型從中擷取核心內容生成會議重點,(3) 將語音轉文字後標註發言角色與主題邊界，結合語意分群進行動態摘要,(4) 將所有語音內容儲存為完整紀錄，提供事後人工摘要比對用,3
A2-028,A2,028,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某公司正在開發一個智慧客服系統，負責回覆顧客關於退換貨、優惠活動與商品建議等問題。研發團隊嘗試使用不同的提示設計方式來提升模型效能。下列哪一個提示最符合「少樣本提示（Few-Shot Prompting）」的設計原則？,(1) 「請回答顧客詢問：如何申請退貨？」,(2) 「以下是兩組客服對話範例，請依照相同風格回覆新的顧客問題」,(3) 「請逐步分析顧客投訴的原因，並依照推理過程生成合適回覆」,(4) 「請以正式的語氣回覆顧客的提問」,2
A2-029,A2,029,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某投資公司導入生成式 AI，用於即時分析股市波動並提供市場背景資訊。若希望 AI能兼顧「即時性」與「可靠性」。下列哪一項設計最能有效提升 AI在即時股市分析上的表現？,(1) 將 AI 系統連結至公司內部歷史交易資料庫，以便快速調用既有的案例參考,(2) 調整模型的回應邏輯，讓 AI 優先輸出最新市場行情，而不是完整的背景分析,(3) 建立與外部即時行情來源同步的查詢模組，確保 AI 能即時擷取最新金融數據,(4) 增加訓練資料中模擬的金融危機與市場異常案例，以提升 AI 在特殊情境下的表現能力,3
A2-030,A2,030,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某大型物流公司計畫導入 AI系統，以改善客服與配送作業的效率。專案團隊規劃了以下四個步驟，請問正確的執行順序為何？1. 建立符合公司服務流程的 AI 對話邏輯與應答範本，確保顧客體驗一致2. 明確定義導入 AI的目標並設定關鍵績效指標（KPI）3. 蒐集與清理過往客服紀錄與配送相關資料，作為模型訓練素材4. 評估並選擇合適的 AI 技術供應商或開源方案，確立技術方向與架構,(1) 2 → 3 → 4 → 1,(2) 3 → 2 → 1 → 4,(3) 2 → 1 → 3 → 4,(4) 1 → 4 → 3 → 2,1
A2-031,A2,031,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某跨國電商企業導入生成式 AI，協助處理顧客服務請求，並根據顧客歷史訂單提供個人化建議。資安與法遵部門擔心 AI在回覆時可能洩漏顧客個資，若要在導入初期優先避免觸法風險，下列哪一項措施最符合要求？,(1) 在加密環境下導入完整的顧客訂單與行為資料，並透過嚴格存取控管降低洩漏風險,(2) 實施資料最小化與去識別化，確保 AI 在訓練與生成過程中不直接處理或暴露敏感個資,(3) 強化模型的回覆審查流程，透過自動過濾與人工抽查結合，降低個資外洩的機率,(4) 設定 AI 的角色與回覆範圍，讓其專注於客服相關內容，避免回答其他敏感議題,2
A2-032,A2,032,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某國際銀行導入生成式 AI，用於彙整不同國家金融監管機構的合規規範，建立跨國合規知識庫。由於各國條文表述方式不同，且監管要求具有高度專業性與隱含邏輯，若要確保知識庫在後續查詢與生成報告時能維持正確性與一致性，下列哪一項 AI能力最為關鍵？,(1) 具備跨語言專業術語對齊與條文語意抽取能力，能正確辨識不同國家規範間的對應與差異,(2) 能自動最佳化文件檢索效率，縮短跨國法規查詢的延遲時間，提升合規部門使用體驗,(3) 能將合規文件轉換為多種輸出形式（如簡報、摘要或法規清單），以符合不同決策層級需求,(4) 具備根據歷史案例生成合規解釋的能力，協助新進員工快速理解法規在實務上的應用,1
A2-033,A2,033,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在企業導入 MLOps（Machine Learning Operations）的過程中，除了模型部署與維運挑戰外，仍可能面臨其他推動上的困難。下列何者為 No Code平台最能有效解決的挑戰？,(1) 自動化大量資料的標註與前處理，以降低數據準備成本,(2) 提升運算基礎設施的可擴展性，以因應大規模服務需求,(3) 透過可視化建模介面，降低技術門檻並促進跨部門協作,(4) 提供進階特徵工程能力，優化高維度數據的處理效率,3
A2-034,A2,034,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某醫療機構計畫導入生成式 AI協助撰寫病歷摘要。在技術測試階段，為確保系統能安全應用於臨床，最應優先關注下列哪一項指標？,(1) 資料儲存與存取架構的完整性，確保長期運作過程中的數據可追溯性,(2) 生成內容的醫療準確性與臨床一致性，避免出現錯誤或誤導性資訊,(3) 模型在不同病例語境下的泛化能力，確保不因個別樣本而偏差,(4) 系統回應時間的穩定性，以支援醫療場域中可能的即時需求,2
A2-035,A2,035,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在即時客服系統的效能測試中，若針對延遲測試（Latency Testing）進行評估，下列哪一項指標最能反映系統是否符合用戶即時互動需求？,(1) AI模型在同一分鐘內可完成的回覆訊息數量,(2) 客戶從輸入問題到收到第一個完整回應所需的時間,(3) 客服系統能連續提供服務的運行時長,(4) AI產生回答時用詞的多樣性與表達創意程度,2
A2-036,A2,036,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某航空公司導入生成式 AI聲控客服，提供航班與票務查詢。有人員透過惡意提示，試圖讓系統洩漏內部安檢流程。在此情境中，下列何者為降低提示攻擊（Prompt Injection）風險的最佳策略？,(1) 導入輸入檢測與回應審核流程，防止敏感指令被執行,(2) 限制 AI 可回應的主題範圍，使系統僅回答非敏感的航班與票務查詢，避免處理內部或敏感流程資訊,(3) 隨機變化回覆內容，讓攻擊者難以預測回應行為以增加攻擊難度,(4) 擴充與更新航班與票務資料來源，以提升模型的知識正確性與覆蓋率,1
A2-037,A2,037,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在機器學習模型的實務應用中，常會出現數據漂移（Data Drift）的情況。此現象主要是指下列哪一種情況？,(1) 訓練時使用的資料分佈，與部署後實際輸入資料的統計特徵隨時間逐漸出現差異，導致模型表現衰退,(2) 在資料前處理過程中，因特徵刪減或缺失補值不當，造成樣本資訊量下降,(3) 模型對訓練數據擬合過度，在未知數據上泛化能力不足,(4) 後端資料庫因欄位定義或結構調整，導致特徵提取流程與原始設計不一致,1
A2-038,A2,038,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某銀行導入生成式 AI放貸審核系統，用於分析申貸人條件並生成初步審核意見。測試過程中發現，模型對不同族群的核准率存在顯著差異，可能引發演算法偏見問題。為降低此風險，下列哪一項措施最合適？,(1) 提升模型運算速度與效能，以確保在大量申請中快速回應,(2) 全面移除與申貸人身份相關的敏感屬性，避免模型因變數影響而產生偏差,(3) 導入資料與結果的公平性檢測流程，並依合規規範調整模型或決策邏輯,(4) 減少訓練樣本數量，降低偏見被放大的可能性,3
A2-039,A2,039,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在提示工程（Prompt Engineering）的應用中，Chain-of-Thought（CoT）與 Tree of Thoughts（ToT）各適用於不同的推理情境，請問以下兩個情境，分別最適合採用哪一種方法？情境一：電商公司開發客服助理，用來協助客戶查詢退款流程與相關規範情境二：活動策劃團隊使用 AI協助規劃多場跨部門行銷活動，需要同時考量預算、場地、時程與人力資源，並比較不同方案的可行性。,(1) 情境一採用 CoT，情境二採用 ToT,(2) 情境一採用 ToT，情境二採用 CoT,(3) 情境一與情境二都適合 CoT,(4) 情境一與情境二都適合 ToT,1
A2-040,A2,040,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在生成式 AI 的提示工程中，Graph Prompting 在處理複雜關係資料時，為何通常比 Chain-of-Thought（CoT）更有效？,(1) Graph Prompting 幾乎不需要推理，只依靠圖結構即可得出結論,(2) Graph Prompting 僅需單次提示，即可避免多輪推理的誤差累積,(3) Graph Prompting 的生成速度通常更快，因此效率更高,(4) Graph Prompting 能捕捉非線性結構與上下文關聯，適合處理網絡化資訊,4
A2-041,A2,041,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在少樣本提示（Few-shot Prompting）僅能提供 1–2 個範例的情況下，若遇到領域偏移（Domain Shift），下列何者為模型最可能面臨的核心挑戰？,(1) 範例數量過少，無法涵蓋新領域的多樣性，導致模型泛化不足,(2) 範例表徵有限，模型容易依賴單一樣本特性而降低適應力,(3) 範例覆蓋不足，使模型難以抽取跨領域的穩定模式,(4) 範例資訊過於稀缺，模型缺乏應對不同輸入情境的能力,1
A2-042,A2,042,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,"某金融機構導入檢索增強生成（Retrieval-Augmented Generation, RAG）模型，用於客服文件查詢與自動回覆。由於大型模型運算成本過高，若考慮引入知識蒸餾（Knowledge Distillation, KD）技術，下列何者為帶來的主要效益？",(1) 讓小型模型學習大型模型的知識，在降低運算成本的同時維持檢索與生成品質,(2) 只能應用於語音或影像辨識，無法提升文字檢索生成效能,(3) 因為 RAG 已有檢索機制，因此無需額外蒸餾知識,(4) 僅能依賴特定 API 供應商才能使用，無法在自建模型中實現,1
A2-043,A2,043,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在評估大型語言模型，例如 7B、13B、175B參數規模時，模型規模對基準測試（Benchmark）結果的影響，下列哪一種說法最為恰當？,(1) 小模型在正確調整下能超越大模型，因此模型大小並不重要,(2) 大模型在多數情境下表現較好，但在特定任務上略遜於小模型,(3) 模型規模與基準測試結果完全無關，影響主要來自測試設計,(4) 模型越大，Benchmark 結果可能提升，但幅度取決於訓練數據品質與資源配置,4
A2-044,A2,044,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在 AI應用設計中，Model Context Protocol（MCP）與檢索增強生成（RAG）都能擴展模型的能力，但兩者的核心差異主要為下列何者？,(1) MCP擴展模型工具，但主要用於補足訓練資料不足,(2) MCP能標準化連接資源，但仍需依賴向量資料庫,(3) RAG 常用於擴展知識庫內容，而 MCP 更著重於動態工具與 API 呼叫的整合,(4) RAG透過統一協議，提升回答相關性,3
A2-045,A2,045,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,下列哪一個資料集專門設計用於測試大型語言模型在多領域、多任務語言理解中，涵蓋人文、科學與社會科學等領域，而非專門用於數學推理或中文專業知識？,(1) MMLU,(2) GSM8K,(3) MATH,(4) C-Eval,1
A2-046,A2,046,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某智慧工廠導入生成式 AI，協助產線工程師即時產生維修指引與操作建議。下列哪一項並非團隊在系統設計中加入 Guardrails（防護機制）的主要目的？,(1) 檢查工程師輸入內容，避免觸發錯誤或危險需求,(2) 過濾與驗證 AI輸出的維修指引，確保符合安全標準,(3) 確保生成的操作建議符合法規與產業安全規範,(4) 完整重建並追蹤 AI 模型的全部推理過程,4
A2-047,A2,047,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某顧問公司導入生成式 AI，協助團隊快速檢索並摘要長篇的法規文件。為了改善檢索結果常出現不相關或過於分散內容的問題，下列何者為團隊決定對文件進行文本切分（Chunking）的主要目的？,(1) 讓模型在回答時能加快推理速度,(2) 提高檢索相關性與降低長上下文噪音,(3) 降低系統記憶體和硬體資源的負擔,(4) 使模型在生成回覆時更具創造性與多樣化,2
A2-048,A2,048,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某開發團隊在建置企業內部知識檢索系統時，選擇採用多向量檢索器（Multi-vector Retriever），下列何者為協助提升系統查詢的完整性與精準度的主要方式？,(1) 支援同時處理多種資訊表示，提升跨文本型態的檢索效果,(2) 透過多向量壓縮與共享權重方式，降低檢索過程的運算與儲存成本,(3) 以切分並過濾文件片段，減少上下文長度帶來的 Token負擔,(4) 透過調整生成階段的溫度參數，使模型在回覆時更穩定一致,1
A2-049,A2,049,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在 Agentic AI的架構中，解決方案圖譜（Solution Graph）常被用來輔助代理的任務執行，其主要作用為何？,(1) 透過圖形結構完全取代大型語言模型的推理，讓代理只依靠圖演算法完成任務,(2) 僅用於保存代理的輸出結果，方便後續檢視與審計，而不影響實際推理流程,(3) 將代理限制在既定流程內，避免其產生偏離設計腳本的行為,(4) 作為代理在執行過程中的參考框架，用於組織決策步驟並支援任務推理,4
A2-050,A2,050,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,小明想開發一個部落格寫作工具，讓用戶輸入文章開頭後，系統自動幫忙寫出後續內容，例如輸入「今天去了台北木柵動物園...」，系統就能續寫。若要實現這樣的功能，最適合選擇下列哪一類任務？,(1) 序列到序列建模（Sequence-to-Sequence Modeling），透過輸入序列產生新的輸出序列,(2) 遮罩語言建模（Masked Language Modeling），補齊文字中缺失的詞語或片段,(3) 生成式語言建模（Text Generation），依據上下文持續產生新的內容,(4) 文本分類（Text Classification），針對輸入文本判斷情感、主題或標籤,3
B1-001,B1,001,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,某電商企業希望利用自然語言處理（NLP）技術，分析顧客在社群平台與商品評論中的文字內容，以即時掌握顧客對產品的滿意度變化。若採用情感分析（Sentiment Analysis）模型，其主要目的為何？,(1) 預測顧客使用的語言風格與語氣,(2) 判斷文本中所表達的情感傾向,(3) 將顧客留言自動翻譯成企業內部指定語言,(4) 產生顧客評論的自動化摘要內容,2
B1-002,B1,002,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,某跨國金融科技公司導入 Transformer架構開發多語客服系統，以提升長篇金融文件的自動翻譯品質。下列何者為該模型能顯著改善翻譯準確度的主要原因？,(1) 透過自注意力機制（Self-Attention Mechanism）捕捉長距離語境依賴關係,(2) 透過卷積運算（Convolution Operation）加速訓練過程,(3) 透過強化學習（Reinforcement Learning）自動調整語句生成策略,(4) 透過資料增強（Data Augmentation）平衡多語語料比例,1
B1-003,B1,003,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,"某企業計畫應用 BERT（Bidirectional Encoder Representations from Transformers）模型分析大量顧客意見，以強化客服自動回覆系統。在 BERT 的預訓練過程中，「遮罩語言模型（Masked Language Model, MLM）」的主要訓練策略為何？",(1) 依序遮罩句尾詞語，讓模型從左到右逐步生成完整句子,(2) 隨機遮罩部分詞語，並讓模型根據雙向上下文（Bidirectional Context）預測被遮罩的詞,(3) 透過對抗訓練（Adversarial Training）生成語意相似的擾動樣本以提升泛化性,(4) 以未遮罩的詞為條件，使用解碼器（Decoder）結構重建整句內容,2
B1-004,B1,004,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,在詞向量（Word Embedding）訓練方法中，GloVe（Global Vectors for Word Representation）與 Word2Vec的主要差異為何？,(1) Word2Vec 以詞頻權重訓練詞向量，而 GloVe以隨機初始化向量進行學習,(2) Word2Vec 以全局統計矩陣為基礎，而 GloVe採用神經網路進行上下文預測,(3) Word2Vec 為基於預測的模型，而 GloVe為基於共現統計的模型,(4) Word2Vec 僅能用於靜態文本語料，而 GloVe可應用於即時語料更新,3
B1-005,B1,005,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,"某企業以詞頻–逆文件頻率（Term Frequency–Inverse Document Frequency, TF-IDF）方法分析顧客意見內容，但發現模型在處理篇幅較長的回饋文本時，無法準確反映關鍵詞的重要性。下列何者為造成此現象的主要原因？",(1) 長文本中的詞頻偏高，導致常見詞權重被過度放大,(2) 長文本中缺乏明確句子邊界，造成 TF-IDF 無法計算詞頻,(3) TF-IDF 無法同時處理多份文件,(4) 長文本會改變 IDF（Inverse Document Frequency）的計算，使所有詞權重趨於相近,1
B1-006,B1,006,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,某企業嘗試以 N-gram語言模型（N-gram Language Model）建立客服自動回覆系統，但發現模型生成的句子雖在片段上合理，卻缺乏整體語意連貫性。此問題最可能源自 N-gram模型的哪一項限制？,(1) N-gram 模型在訓練過程中需要龐大計算量，導致長句無法收斂,(2) N-gram 模型僅根據固定長度的前序詞建立機率估計，難以捕捉長距離依賴關係（Long-range Dependencies）,(3) N-gram 模型缺乏語意嵌入（Semantic Embedding）層，因此無法表徵詞語間的語意相似度,(4) N-gram 模型假設詞與詞之間相互獨立，導致無法建構上下文語意關聯,2
B1-007,B1,007,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,"在企業導入的智慧監控系統中，模型以物件偵測（Object Detection）方式自動辨識影像中的人物與車輛。若評估指標採用平均精確率（Mean Average Precision, mAP），其中 IoU（Intersection over Union）閾值設定較高時，代表下列哪一項意義？",(1) 預測邊界框與真實邊界框的重疊程度越高，模型偵測結果越精準,(2) 預測邊界框與真實邊界框的誤差越大，導致 mAP數值上升,(3) 模型整體精確率（Precision）降低，但召回率（Recall）上升,(4) 預測邊界框的評估結果不受真實框大小影響,1
B1-008,B1,008,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,關於 Softmax 與 Max-Pooling，下列敘述何者正確？,(1) Softmax 與 Max-Pooling都會將特徵張量壓縮為單一最大值,(2) Max-Pooling 會對輸入進行機率分佈的轉換,(3) Softmax 會保留所有輸入資訊，但以比例表示；Max-Pooling 只保留區域最大值,(4) Softmax 主要用於特徵降維，而 Max-Pooling用於分類輸出,3
B1-009,B1,009,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,某企業在訓練生成式 AI模型時，導入資料增強（Data Augmentation）技術以擴充訓練資料，但觀察到模型效能反而下降。下列哪一項最可能的原因與對應改善策略最為正確？,(1) 增強樣本未經隨機初始化，導致模型梯度更新不穩定，應重新設計訓練啟動流程,(2) 增強後資料的特徵分佈與原始資料不一致，影響模型的泛化能力，應檢查並調整增強策略以維持語意一致性,(3) 增強樣本的比例過高，造成模型對特定資料產生偏好，應適度提高增強比例並調整學習率,(4) 增強後資料的標註可信度下降，導致訓練訊號偏差，應以半監督學習方式重新校正資料,2
B1-010,B1,010,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,如果希望同時兼顧「精確率（Precision）」和「召回率（Recall）」，下列哪一個指標可以作為綜合評估的標準？,(1) 準確率（Accuracy）,(2) 均方根誤差（RMSE）,(3) 均方誤差（MSE）,(4) F1分數（F1 Score）,4
B1-011,B1,011,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,企業資料分析團隊使用 DBSCAN（Density-Based Spatial Clustering of Applications with Noise）演算法進行顧客行為分群，並希望模型能自動區分主要群集與雜訊資料。在此演算法中，決定聚類結果的兩個主要超參數為下列何者？,(1) 特徵數與學習率,(2) K 值與距離閾值,(3) 鄰域半徑（Epsilon ε）與最小點數（MinPts）,(4) 交叉熵（Cross Entropy）與權重初始化,3
B1-012,B1,012,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,某金融科技公司建立房價預測模型，使用多項特徵（如建坪、房齡、樓層、總價等）進行線性迴歸分析（Linear Regression Analysis）。資料分析師發現多個特徵之間存在高度相關性，導致模型係數不穩定、預測誤差上升。為解決此問題，下列哪一種方法最適合？,(1) 繼續保留所有特徵，不進行任何處理,(2) 使用主成分分析（PCA）將相關特徵轉換為彼此獨立的主成分,(3) 新增更多原始變數以提升模型表現,(4) 改用分類模型進行預測,2
B1-013,B1,013,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,下列何者為 Kubernetes在 AI模型部署與運行中的核心功能？,(1) 自動化管理模型的訓練流程與參數調校,(2) 管理與協調模型服務的部署、擴展與運行環境,(3) 提供 AI 模型的資料儲存與版本控管功能,(4) 負責深度學習推論的 GPU 加速運算,2
B1-014,B1,014,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,在調整模型超參數（Hyperparameters）時，若希望避免因過度調整參數而導致過擬合，下列哪一種做法最有效提升模型的泛化能力？,(1) 採用交叉驗證（Cross-Validation）於多組參數組合間反覆評估，選擇在驗證資料上表現最穩定的設定,(2) 使用早期停止機制（Early Stopping）監控訓練誤差並在收斂前停止訓練，以防模型學習過度,(3) 對輸入特徵進行標準化以減少特徵值差異帶來的過擬合風險,(4) 提高模型複雜度並使用更多超參數搜尋範圍，以確保模型能充分學習資料特徵,1
B1-015,B1,015,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,在企業導入的 MLOps（Machine Learning Operations）流程中，Model Registry 最常用於哪一個階段？,(1) 用於設定運算資源與執行環境以確保訓練穩定,(2) 用於建立可重複使用的資料與特徵版本,(3) 用於集中管理模型版本、訓練紀錄與部署狀態,(4) 用於追蹤模型上線後的表現與漂移情況,3
B1-016,B1,016,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,下列哪一種情境中最適合使用「序列到序列（Seq2Seq）」模型？,(1) 預測銷售趨勢曲線，輸出未來數值序列,(2) 辨識文本中出現的人名、地名與組織名稱等實體資訊,(3) 對輸入文本中的關鍵字進行頻率統計與可視化,(4) 將輸入文字轉換成語意等價的另一段文字，如自動翻譯或摘要生成,4
B1-017,B1,017,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,"在自然語言處理中，檢索增強生成（Retrieval-Augmented Generation, RAG）是一種結合語言模型與向量搜尋的技術，可有效減少模型知識過時與產生幻覺的問題。若要建立一套高效能的 RAG系統，下列何者為在「檢索階段」最關鍵的挑戰？",(1) 確保檢索到的文件能被完整納入語言模型的上下文視窗（Context Window）中進行生成,(2) 選擇使用 Faiss或 ScaNN等近似最近鄰搜尋函式庫,(3) 降低嵌入模型（Embedding Model）在高維空間中的計算成本與記憶體占用,(4) 避免向量檢索結果僅具語意相似但與查詢意圖無實質關聯的情況,4
B1-018,B1,018,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,當 Transformer 模型發生「注意力分布過於平均（Attention Collapse）」的情形時，導致模型無法有效聚焦於關鍵資訊，下列哪一項策略可有效改善此問題？,(1) 提高 Query-Key點積（Dot Product）的縮放常數,(2) 在 Softmax 前加入高斯雜訊（Gaussian Noise）,(3) 使用 ReLU 函數取代 Softmax,(4) 對注意力權重施加稀疏化約束（Sparsity Constraint）,4
B1-019,B1,019,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,某研究團隊正在訓練一個針對低資源語言（如少數民族語言）的語言模型，但該語言僅有約 1萬筆語料可用。在訓練過程中出現明顯的過擬合現象，若希望在不新增真實語料的前提下提升模型的泛化能力，採用下列哪一種方法最為適合？,(1) 將 Transformer 的隱藏層維度擴增至 1024，以提升表徵能力,(2) 採用反向翻譯（Back-Translation）技術，以生成額外目標語句的偽平行語料（Pseudo‑Parallel Corpus）,(3) 對詞嵌入矩陣（Embedding Matrix），施加 L1正則化以壓縮模型參數,(4) 將多語言 BERT（mBERT）中所有 Transformer層全部凍結以保留預訓練知識,2
B1-020,B1,020,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,在使用生成對抗網路（GAN）進行人臉影像生成時，若出現「模式崩潰」（Mode Collapse）現象，下列哪一種方法最常被用來有效解決此問題？,(1) 在鑑別器中加入梯度懲罰（Gradient Penalty）以穩定訓練過程,(2) 採用 Wasserstein 距離（WGAN 損失）替代原始的 GAN 損失函數,(3) 對生成器輸入的潛在向量加入隨機擾動,(4) 使用多尺度鑑別器架構以提高對多樣性的判別能力,2
B1-021,B1,021,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,在多模態 AI 模型訓練或推論過程中，遇到某一模態資料缺失（例如僅有影像資料但缺少文本說明），下列哪一種策略最有效維持模型效能？,(1) 以零向量或固定向量填充缺失模態輸入,(2) 訓練具備模態缺失感知能力的模型，使其適應缺失狀況,(3) 利用生成模型（如 GAN 或自迴歸模型）預測並補全缺失模態資料,(4) 直接捨棄缺少模態的樣本，避免干擾訓練或推論,2
