編號,分類,對應PDF,PDF題號,CSV題號,內容判定,答案判定,溯源判定,題號判定,顯示判定,圖片依賴,內嵌圖片數,差異類型,內容差異明細,其他問題,差異摘要
B1-042,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,42,42,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-043,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,43,43,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-044,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,44,44,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-045,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,45,45,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-046,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,46,46,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-047,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,47,47,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-048,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,48,48,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-049,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,49,49,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B1-050,B1,114年第二梯次中級AI應用規劃師第一科人工智慧技術應用與規劃(當次試題公告114_20251226000616.pdf,50,50,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-001,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,1,1,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-002,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,2,2,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-003,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,3,3,FAIL,PASS,PASS,PASS,PASS,是,1,C1 圖片內容以文字補寫,題幹不符（C1：刪0/增9/改0）,-,"PDF「附圖為某資料之分佈圖,此圖資料之偏態(Skewness)值較有可能為下列哪個選項?」｜CSV「附圖為某資料之分佈圖,此圖資料之偏態(Skewness)值較有可能為下列哪個選項?(圖顯示長尾向左)」"
B2-004,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,4,4,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-005,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,5,5,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-006,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,6,6,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,選項1不符（C2：刪61/增0/改0） | 選項2不符（C2：刪39/增0/改0） | 選項3不符（C2：刪18/增0/改0） | 選項4不符（C2：刪31/增0/改0）,-,"PDF「One-Hot編碼(One-HotEncoding)會將類別變數轉換為多維二元向量,適用於無序(Nominal)類別資料,但在高基數(HighCardinali」｜CSV「One-Hot編碼適用於無序類別資料,但在高基數特徵下可能造成維度爆炸」"
B2-007,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,7,7,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-008,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,8,8,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-009,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,9,9,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-010,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,10,10,FAIL,PASS,PASS,PASS,PASS,否,0,C6 文字改寫,選項1不符（C6：刪10/增0/改0） | 選項2不符（C6：刪8/增0/改0）,-,"PDF「根據歷史銷售資料預測特定商品在旺季期間是否會出現供貨短缺,以提前調整庫存策略」｜CSV「根據歷史銷售資料預測特定商品在旺季期間是否會出現供貨短缺」"
B2-011,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,11,11,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-012,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,12,12,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-013,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,13,13,PASS,PASS,PASS,PASS,PASS,否,0,-,完全一致,-,
B2-014,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,14,14,FAIL,PASS,PASS,PASS,PASS,否,0,C5 字元層級瑕疵,題幹不符（C5：刪0/增1/改0）,-,"PDF「某組資料共10項標籤如下:A,A,A,A,A,B,B,B,B,B若該標籤僅有A,B兩種,請問這組資料的""正規化吉尼不純度(NormalizedGiniimpur」｜CSV「某組資料共10項標籤如下:A,A,A,A,A,B,B,B,B,B.若該標籤僅有A,B兩種,請問這組資料的""正規化吉尼不純度(NormalizedGiniimpu」"
B2-015,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,15,15,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,題幹不符（C2：刪42/增0/改0）,-,"PDF「某家客服中心統計資料發現,平均每小時會接到約20通顧客來電,但每分鐘的來電數量不固定,可能為0,1,2通不等.這些來電事件彼此獨立,且在短時間內,發生的機率與時」｜CSV「某家客服中心統計資料發現,這些來電事件彼此獨立,且在短時間內,發生的機率與時間長短成正比.若要以機率模型描述""每分鐘接到幾通來電""的機率分佈,下列哪一種最適合使」"
B2-016,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,16,16,FAIL,PASS,PASS,PASS,PASS,否,0,C6 文字改寫,題幹不符（C6：刪0/增0/改32）,-,"PDF「某金融科技公司以Z分數(Z-Score)監控交易金額異常狀況.若交易金額平均為新台幣2,000元,標準差為400元,某筆交易金額為3,200元,且公司以|Z|≥」｜CSV「某金融科技公司以Z分數(Z-Score)監控交易金額異常狀況.若交易金額平均為新台幣2,000元,標準差為400元,某筆交易金額為3,200元,且公司以\」"
B2-017,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,17,17,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,選項1不符（C6：刪7/增0/改0） | 選項3不符（C6：刪13/增0/改0） | 選項4不符（C2：刪32/增0/改0）,-,"PDF「應優先採用獨熱編碼(One-HotEncoding),以減少類別之間的相依性與記憶體使用量」｜CSV「應優先採用獨熱編碼(One-HotEncoding),以減少類別之間的相依性」"
B2-018,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,18,18,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪46/增0/改0） | 選項1不符（C6：刪10/增0/改0）,-,"PDF「某人工智慧團隊使用分散式資料庫(DistributedDatabase)儲存模型訓練資料,並在更新訓練樣本時啟用多節點交易.若其中一個節點在交易過程中發生錯誤,」｜CSV「某人工智慧團隊使用分散式資料庫,若其中一個節點在交易過程中發生錯誤,但系統仍確保整體資料不會出現部分更新,最終狀態維持一致,下列何者最能說明此現象?」"
B2-019,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,19,19,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C5 字元層級瑕疵,題幹不符（C2：刪24/增0/改0） | 選項1不符（C5：刪1/增0/改0） | 選項3不符（C2：刪27/增0/改0） | 選項4不符（C5：刪1/增0/改0）,-,"PDF「某製造企業導入上萬台物聯網(IoT)感測器以進行設備健康監測.系統需在毫秒級回應異常事件,並同時將完整資料保留於雲端供後續AI模型訓練與分析.若企業希望兼顧即時」｜CSV「某製造企業導入物聯網(IoT)感測器.系統需在毫秒級回應異常事件,並同時將完整資料保留於雲端.若企業希望兼顧即時性,資料完整性與可擴展性,下列哪一種資料流程設計」"
B2-020,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,20,20,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪47/增0/改0） | 選項1不符（C6：刪14/增0/改0） | 選項2不符（C2：刪16/增0/改0） | 選項3不符（C2：刪17/增0/改0） | 選項4不符（C6：刪13/增0/改0）,-,"PDF「某銀行計畫將信用風險評估模型部署至雲端平台,以便即時分析客戶交易行為.由於涉及大量敏感金融資料,銀行要求雲端服務商在不解密原始資料的情況下仍能執行模型運算.為達」｜CSV「某銀行要求雲端服務商在不解密原始資料的情況下仍能執行模型運算.為達成此目標,最適合採用下列哪一項技術?」"
B2-021,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,21,21,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪31/增0/改0） | 選項1不符（C6：刪8/增0/改0） | 選項3不符（C6：刪5/增0/改0） | 選項4不符（C2：刪17/增0/改0）,-,"PDF「某資料分析師設計在業務績效報告時,希望單一頁面中同時呈現多區域,不同產品線的銷售趨勢變化,並確保主管能在短時間內掌握整體資料走向.若依據EdwardRolfTu」｜CSV「某資料分析師希望單一頁面中同時呈現多區域,不同產品線的銷售趨勢變化.若依據EdwardRolfTufte的數據密度(DataDensity)原則,下列哪一種設計」"
B2-022,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,22,22,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪21/增0/改9） | 選項1不符（C6：刪8/增0/改0） | 選項2不符（C2：刪16/增0/改0） | 選項3不符（C6：刪10/增0/改0）,-,"PDF「某投資研究員希望分析四檔科技類股(A,B,C,D)每日報酬率的變化趨勢,以判斷這些股票之間是否存在高度相關性與共變動性,並評估投資組合分散風險的程度.若研究員希」｜CSV「某投資研究員希望分析四檔股票每日報酬率的變化趨勢,以判斷這些股票之間是否存在高度相關性與共變動性.若希望以單一圖表快速呈現各股票間的關聯強度與方向,下列哪一種視」"
B2-023,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,23,23,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,題幹不符（C2：刪38/增0/改0）,-,"PDF「某研究團隊以單樣本t檢定(one-samplet-test)檢驗""新行銷策略後的平均月銷售額是否與原本的100萬元不同"",顯著水準設定為α=0.05.檢定結果顯」｜CSV「某研究團隊以單樣本t檢定檢驗""平均月銷售額是否與原本的100萬元不同"",顯著水準α=0.05.檢定結果:p值=0.08,95%信賴區間為[95萬元,108萬元]」"
B2-024,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,24,24,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C5 字元層級瑕疵; C6 文字改寫,題幹不符（C2：刪48/增0/改1） | 選項1不符（C2：刪26/增0/改0） | 選項2不符（C6：刪14/增0/改0） | 選項3不符（C5：刪2/增0/改0）,-,"PDF「某企業建置生成式AI系統,利用大量客服紀錄與產品評論資料訓練語言模型,以自動生成客服回覆與知識摘要.由於資料來源多樣,且包含非結構化文字,影像與表格資訊,團隊希」｜CSV「某企業建置生成式AI系統,資料來源多樣且包含非結構化資訊.團隊希望在不降低模型效能的前提下,提升資料處理效率與一致性,下列哪一種資料處理策略最適合?」"
B2-025,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,25,25,FAIL,PASS,PASS,PASS,PASS,否,0,C6 文字改寫,題幹不符（C6：刪10/增0/改0）,-,"PDF「某電商資料團隊繪製顧客單筆消費金額的箱型圖後發現:四分位距(IQR)範圍極小,但上鬚線拉得很長,且在高金額區域有多筆離群值.若希望協助行銷部門依據消費層級設計分」｜CSV「某電商資料團隊繪製箱型圖發現:四分位距(IQR)範圍極小,但上鬚線拉得很長,且在高金額區域有多筆離群值.若希望協助行銷部門依據消費層級設計分群策略,下列哪一種視」"
B2-026,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,26,26,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪68/增0/改18） | 選項2不符（C6：刪8/增0/改0）,-,"PDF「某串流影音平台運用關聯規則學習(AssociationRuleLearning)分析用戶的觀影行為,發現若使用者觀看了科幻影集,則有較高機率接著觀看超級英雄電影」｜CSV「某串流影音平台分析用戶觀影行為,發現若觀看了科幻影集,則有較高機率接著觀看超級英雄電影.同時觀看比例為12%,觀看科幻者中有50%也觀看了超級英雄,提升度為1.」"
B2-027,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,27,27,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪37/增0/改2） | 選項1不符（C6：刪9/增0/改0） | 選項2不符（C6：刪9/增0/改0） | 選項3不符（C6：刪11/增0/改0）,-,"PDF「某金融科技公司分析每日上億筆交易資料,以監控客戶轉帳金額分佈與異常波動.由於資料量極大,為兼顧效率與準確度,團隊決定採用""近似分位數(ApproximateQu」｜CSV「某金融科技公司監控每日上億筆交易資料,決定採用""近似分位數(ApproximateQuantile)""方法進行資料摘要統計.下列何者最能正確反映該技術的核心目的」"
B2-028,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,28,28,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,題幹不符（C2：刪55/增0/改0） | 選項2不符（C2：刪18/增0/改0）,-,"PDF「若在高維度(>500維)的資料上應用DBSCAN(Density-BasedSpatialClusteringofApplicationswithNoise)演」｜CSV「若在高維度(>500維)的資料上應用DBSCAN演算法,卻發現所有資料點皆被判定為雜訊(Noise),下列何者為最有可能的原因?」"
B2-029,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,29,29,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪100/增2/改10） | 選項1不符（C6：刪9/增0/改0） | 選項4不符（C2：刪17/增0/改0）,-,"PDF「某團隊在開發風險評估模型時,使用主成分分析(PrincipalComponentAnalysis,PCA)進行降維.輸入資料包含三個數值欄位:""交易金額(單位:」｜CSV「使用PCA進行降維,輸入資料包含交易金額(105),交易次數(101)與年齡(102).直接帶入PCA後,第一主成分幾乎完全由""交易金額""主導.下列哪一項作法最」"
B2-030,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,30,30,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,題幹不符（C2：刪16/增0/改11） | 選項1不符（C2：刪21/增0/改0） | 選項4不符（C2：刪18/增0/改0）,-,"PDF「某行銷團隊想了解""廣告預算""與""銷售金額""之間的關聯程度.經繪製散佈圖後發現兩者呈現明顯線性趨勢,且資料中無明顯離群值(Outliers).若希望衡量兩者之間線」｜CSV「某行銷團隊想了解""廣告預算""與""銷售金額""之間的關聯程度,散佈圖顯示明顯線性趨勢且無離群值.若希望衡量兩者之間線性關係的強度與方向,下列哪一種方法最適合?」"
B2-031,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,31,31,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,題幹不符（C2：刪90/增1/改6） | 選項1不符（C2：刪22/增0/改0）,-,"PDF「某電商團隊觀察到,每位顧客對廣告推播的點擊行為可視為一次伯努利試驗(BernoulliTrial),單次點擊成功機率為p=0.4.當推播對象擴增至5,000位顧」｜CSV「某電商團隊將顧客點擊行為視為伯努利試驗(p=0.4).當推播對象擴增至5,000位時,若希望以常態分佈近似原始分佈,下列哪一項判斷最為合理?」"
B2-032,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,32,32,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪76/增0/改2） | 選項1不符（C2：刪33/增0/改0） | 選項2不符（C2：刪23/增0/改0） | 選項3不符（C2：刪36/增0/改0） | 選項4不符（C6：刪11/增0/改0）,-,"PDF「某電信公司導入生成式AI客服系統,利用過去對話紀錄與用戶行為資料訓練語言模型,在資料治理與合規審查過程中,團隊發現模型可能會在回答中生成包含真實姓名,電話或交易」｜CSV「某電信公司利用生成式AI客服系統,為確保系統符合個資法及安全隱私要求,下列哪一項作法最符合實務可行及法規原則?」"
B2-033,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,33,33,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪36/增0/改4） | 選項1不符（C2：刪49/增0/改0） | 選項2不符（C2：刪25/增0/改0） | 選項3不符（C6：刪8/增0/改0） | 選項4不符（C2：刪15/增0/改0）,-,"PDF「某金融機構的量化分析師在建立資產風險評估模型時,發現報酬率資料分佈明顯非對稱,且出現多次極端損失事件,使得傳統假設常態分佈的模型無法準確反映真實風險.若希望在不」｜CSV「某金融機構的資產風險評估模型,發現報酬率資料分佈明顯非對稱且有極端損失.若希望在不依賴常態分佈假設的前提下,採取更能捕捉資料極端情況的建模策略,下列哪一種方法最」"
B2-034,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,34,34,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪48/增0/改0） | 選項1不符（C6：刪12/增0/改0） | 選項2不符（C2：刪15/增0/改0）,-,"PDF「在圖形資料庫(GraphDatabase)中建模社群平台資料時,若每筆""按讚""行為都包含時間戳記(Timestamp)與裝置類型(DeviceType)等資訊.」｜CSV「在圖形資料庫中建模社群平台資料,每筆""按讚""行為都包含時間戳記.若希望同時保留使用者與貼文之間的互動關係,並能有效查詢""按讚""的行為屬性,下列哪一種設計方式最為」"
B2-035,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,35,35,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪50/增0/改0） | 選項1不符（C6：刪12/增0/改0） | 選項2不符（C2：刪26/增0/改0） | 選項3不符（C6：刪5/增0/改0）,-,"PDF「某企業欲建構知識圖譜(KnowledgeGraph),以整合內部的研究報告,專利資料與專家知識,並支援語意查詢與關聯推理.若希望模型能具備良好的語意擴展性與高效」｜CSV「某企業欲建構知識圖譜,若希望模型能具備良好的語意擴展性與高效推理能力,下列哪一種圖模型設計最為合適?」"
B2-036,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,36,36,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,題幹不符（C2：刪35/增0/改0） | 選項1不符（C2：刪17/增0/改0） | 選項3不符（C2：刪19/增0/改0）,-,"PDF「某研究人員欲使用線性迴歸模型(LinearRegressionModel)分析變數Y與X之間的關係,但發現Y的分佈明顯右偏,且其變異數隨X的增大而增加.為滿足模」｜CSV「使用線性迴歸模型分析變數Y與X,發現Y的分佈明顯右偏,且其變異數隨X的增大而增加.為滿足模型假設並提升配適效果,下列哪一種前處理方法最為合適?」"
B2-037,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,37,37,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節,題幹不符（C2：刪39/增0/改0） | 選項1不符（C2：刪20/增0/改0） | 選項2不符（C2：刪21/增0/改0） | 選項4不符（C2：刪25/增0/改0）,-,"PDF「若開發一個用於罕見疾病自動診斷的分類模型,目前資料集中確診樣本僅佔不到1%,且因為標註成本高,短期內無法取得更多資料.在此情況下,若希望提升模型對少數類的偵測能」｜CSV「開發罕見疾病自動診斷分類模型,確診樣本僅佔不到1%.若希望提升模型對少數類的偵測能力,同時避免過擬合,下列哪一種策略最為合理?」"
B2-038,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,38,38,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪37/增0/改12） | 選項1不符（C2：刪18/增0/改0） | 選項3不符（C2：刪16/增0/改0） | 選項4不符（C6：刪7/增0/改0）,-,"PDF「一家製造廠評估新生產線推出後,產品良率是否較原生產線提升.工程師分別從兩條生產線各抽樣100件產品,原生產線良率為95%,新生產線為97%.若欲檢定兩條生產線良」｜CSV「製造廠評估產品良率是否提升(95%vs97%),各抽樣100件.若欲檢定兩條生產線良率的差異是否具有統計意義,下列哪一種方法最為合適?」"
B2-039,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,39,39,FAIL,PASS,PASS,PASS,PASS,否,0,C2 內容刪節; C6 文字改寫,題幹不符（C2：刪44/增0/改5） | 選項2不符（C6：刪11/增0/改0） | 選項3不符（C6：刪8/增0/改0） | 選項4不符（C6：刪12/增0/改0）,-,"PDF「若評估一個新開發的腫瘤分類模型,其資料集中有80%的樣本來自良性病例.若直接使用5-fold交叉驗證(Cross-Validation)進行模型評估,可能導致模」｜CSV「評估腫瘤分類模型,資料集中80%為良性.若直接使用5-fold交叉驗證可能導致偏差,為避免此問題,下列哪一種作法最合適?」"
B2-040,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,40,40,FAIL,PASS,PASS,PASS,PASS,是,1,C1 圖片內容以文字補寫; C2 內容刪節; C3 圖片題內容不完整,題幹不符（C1：刪0/增26/改19） | 選項1不符（C2：刪20/增0/改0） | 選項3不符（C2：刪23/增0/改0） | 選項4不符（C3：刪11/增0/改0）,-,"PDF「請參考附圖,下列虛擬程式碼(pseudocode)最可能是在描述何種驗證法?」｜CSV「(根據虛擬程式碼描述)對i=1到N,將第i筆資料作測試集,其餘作訓練集.這最可能是在描述何種驗證法?」"
B2-041,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,41,41,FAIL,PASS,PASS,PASS,PASS,是,1,C1 圖片內容以文字補寫; C2 內容刪節,題幹不符（C1：刪0/增28/改19） | 選項2不符（C2：刪32/增0/改0） | 選項3不符（C2：刪24/增0/改0） | 選項4不符（C2：刪65/增0/改0）,-,"PDF「請參考附圖,下列虛擬程式碼(pseudocode)最可能是在描述何種演算法?」｜CSV「(根據虛擬程式碼描述)隨機選擇X個中心,計算距離並指派群,更新中心直到收斂.這最可能是在描述何種演算法?」"
B2-042,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,42,42,FAIL,PASS,PASS,PASS,PASS,是,1,C2 內容刪節,題幹不符（C2：刪38/增0/改27） | 選項1不符（C2：刪16/增0/改0） | 選項2不符（C2：刪29/增0/改0） | 選項4不符（C2：刪362/增0/改0）,-,"PDF「考慮某生產線每小時出現瑕疵品的個數符合卜瓦松分佈(PoissonDistribution),已知平均每小時產生5個瑕疵品,附圖程式碼展示資料處理,請問下列敘述何」｜CSV「考慮生產線瑕疵品符合卜瓦松分佈,平均每小時5個.關於程式碼poisson.pmf(5,5),下列敘述何者正確?」"
B2-043,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,43,43,FAIL,PASS,PASS,PASS,PASS,是,2,C2 內容刪節,題幹不符（C2：刪65/增1/改135）,-,"PDF「分析師在載入資料後,檢視Year欄位的資料型態,發現它是float64,而非一般年份常用的整數.他想了解這樣的情形為什麼會發生.請問下列哪些原因可能導致這種狀況」｜CSV「分析師發現Year欄位是float64而非整數,哪些原因可能導致這種狀況?(原因A:NaN導致;原因D:包含小數點)」"
B2-044,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,44,44,FAIL,PASS,PASS,PASS,PASS,是,2,C2 內容刪節,題幹不符（C2：刪28/增3/改0） | 選項1不符（C2：刪26/增0/改0） | 選項2不符（C2：刪26/增0/改0） | 選項3不符（C2：刪26/增0/改0） | 選項4不符（C2：刪26/增0/改0）,-,"PDF「研究團隊接下來想要將Year欄位轉換為整數型態,以便後續進行年份趨勢分析.考慮到資料中可能包含缺失值(NaN),請選出最合適的轉換方式」｜CSV「想要將Year欄位轉換為整數型態,考慮到包含缺失值(NaN),最合適的轉換方式為何?」"
B2-045,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,45,45,FAIL,PASS,PASS,PASS,PASS,是,2,C2 內容刪節,題幹不符（C2：刪26/增3/改6）,-,"PDF「為了觀察各遊戲平台的市場表現,分析師想要統計每個平台的全球銷售總額,並以長條圖呈現.請選出最能正確實現此分析的程式碼」｜CSV「統計每個平台的全球銷售總額並以長條圖呈現,正確的程式碼為何?」"
B2-046,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,46,46,FAIL,PASS,PASS,PASS,PASS,是,2,C2 內容刪節; C3 圖片題內容不完整,題幹不符（C2：刪34/增1/改0） | 選項1不符（C3：刪0/增0/改60） | 選項2不符（C3：刪0/增0/改73） | 選項3不符（C3：刪0/增0/改86） | 選項4不符（C3：刪0/增0/改54）,-,"PDF「團隊希望比較北美,歐洲,日本及其他地區的整體銷售比例,並使用seaborn套件以長條圖的形式進行可視化分析.請選出能正確顯示這些地區銷售總額比例的程式碼」｜CSV「比較北美,歐洲,日本及其他地區的整體銷售比例,使用seaborn長條圖.正確的程式碼?」"
B2-047,B2,114年第二梯次中級AI應用規劃師第二科大數據處理分析與應用(當次試題公告114_20251226000634.pdf,47,47,FAIL,PASS,PASS,PASS,PASS,是,2,C2 內容刪節,題幹不符（C2：刪19/增1/改0） | 選項3不符（C2：刪32/增0/改21） | 選項4不符（C2：刪74/增0/改31）,-,"PDF「研究團隊想要知道在北美地區(NA)銷售成績最好的遊戲前五名,並希望以seaborn的條狀圖呈現結果.請選出能正確完成這項分析的程式碼」｜CSV「想要知道在北美地區(NA)銷售成績最好的遊戲前五名,並以seaborn條狀圖呈現.正確的程式碼?」"
